stage,stage_name,klass,feature,coef
3,表現型,腎炎症候群,L_eos,-0.0346556713827858
3,表現型,腎炎症候群,L_PLT,-0.013993352008048042
3,表現型,腎炎症候群,S_Cr,0.24974103375694032
3,表現型,腎炎症候群,S_BUN,0.08332547460193099
3,表現型,腎炎症候群,S_UPCR,0.06363421247998775
3,表現型,腎炎症候群,S_uRBC,-0.04030129327979761
3,表現型,腎炎症候群,S_uWBC,0.015798664428301103
3,表現型,腎炎症候群,S_NLR,-0.033150720321243866
3,表現型,腎炎症候群,S_CRP,-0.05646718568951723
3,表現型,腎炎症候群,S_SBP,-0.13655835266525496
3,表現型,腎炎症候群,S_alb,0.03778595173599396
3,表現型,腎炎症候群,S_eos,0.11987855529130449
3,表現型,腎炎症候群,S_PLT,-0.09606939306058748
3,表現型,腎炎症候群,R_Cr_UPCR,-0.5593048406923644
3,表現型,腎炎症候群,R_UPCR_alb,0.12356691809306217
3,表現型,腎炎症候群,R_UPCR_uRBC,-0.05304931271863478
3,表現型,腎炎症候群,R_BUN_Cr,-0.06728840087343434
3,表現型,腎炎症候群,R_CRP_alb,-0.496139617161993
3,表現型,腎病症候群,L_Cr,-0.7551608067989789
3,表現型,腎病症候群,L_BUN,-0.4608446201663895
3,表現型,腎病症候群,L_UPCR,2.1257320272412135
3,表現型,腎病症候群,L_uRBC,-1.6586289193578092
3,表現型,腎病症候群,L_uWBC,-0.257333220647396
3,表現型,腎病症候群,L_NLR,-0.015161153990542919
3,表現型,腎病症候群,L_CRP,-0.6445938606705959
3,表現型,腎病症候群,L_SBP,0.10232346794507403
3,表現型,腎病症候群,L_alb,-1.3892315231073056
3,表現型,腎病症候群,L_eos,0.014648837951151116
3,表現型,腎病症候群,L_PLT,0.18727734283632938
3,表現型,腎病症候群,S_Cr,-0.2333808546129546
3,表現型,腎病症候群,S_BUN,-0.11682386308823695
3,表現型,腎病症候群,S_UPCR,-0.09663703957065062
3,表現型,腎病症候群,S_uRBC,0.02075291000966844
3,表現型,腎病症候群,S_uWBC,-0.12520561260906848
3,表現型,腎病症候群,S_NLR,0.03590877507153561
3,表現型,腎病症候群,S_CRP,0.06478133345892793
3,表現型,腎病症候群,S_SBP,-0.018952161434059273
3,表現型,腎病症候群,S_alb,0.02699236359337985
3,表現型,腎病症候群,S_eos,-0.08776406808075966
3,表現型,腎病症候群,S_PLT,-0.152576189801559
3,表現型,腎病症候群,R_Cr_UPCR,0.28746965073164177
3,表現型,腎病症候群,R_UPCR_alb,0.07834582361582937
3,表現型,腎病症候群,R_UPCR_uRBC,-0.08030753143925472
3,表現型,腎病症候群,R_BUN_Cr,-0.003970507254677732
3,表現型,腎病症候群,R_CRP_alb,0.3767119394008912
